S Counts ErrUp ErrDown
-1.24413 0.396199 0.0780169 0.0951694
-1.14267 0.514548 0.0513001 0.0581817
-1.0655 0.563481 0.0638848 0.0749304
-0.982967 0.60206 0.0511525 0.0579919
-0.882729 0.600973 0.0522396 0.0593937
-0.759451 0.702431 0.0526817 0.059966
-0.540608 0.658965 0.0528424 0.0601743
0.439333 1.11528 0.0558636 0.0641251
-1 0.592177 0.120473 0.167295
-0.91364 0.628389 0.0834183 0.103344
-0.835647 0.647383 0.0383588 0.0420779
-0.764472 0.695482 0.0401172 0.0442037
-0.686133 0.674861 0.0344088 0.0373714
-0.596879 0.669317 0.0348336 0.0378731
-0.486782 0.640481 0.0343797 0.0373371
-0.349692 0.666518 0.03505 0.0381291
-0.197226 0.788875 0.0352507 0.0383667
-0.0245682 0.902003 0.0345109 0.0374918
0.217484 1.0607 0.0341225 0.0370339
0.691081 1.37985 0.0341208 0.0370319
1.52244 1.92629 0.0540306 0.0617206
-1.33022 0.513218 0.0430849 0.0478347
-1.15021 0.572872 0.0367228 0.0401172
-0.970211 0.618048 0.0428174 0.0475052
-0.79019 0.604226 0.0585318 0.0676676
-0.610196 0.591065 0.0791812 0.09691
-0.430193 0.667453 0.0967232 0.124628
-0.0647951 0.71433 0.106528 0.141458
-0.950782 0.426511 0.0418361 0.0463
-0.850781 0.44248 0.0432417 0.0480281
-0.74958 0.428135 0.0518721 0.0589189
-0.649752 0.475671 0.0570832 0.0657381
-0.500313 0.567026 0.0478708 0.0538088
-0.299296 0.598791 0.0639673 0.075044
-0.0996329 0.786751 0.0717858 0.0860477
0.257439 0.952308 0.0697077 0.0830763
0.763503 1.49388 0.0876184 0.109881
-0.0809219 0.693727 0.0466357 0.0502743
0.071882 0.799341 0.0469966 0.0519287
0.220108 0.956649 0.0476728 0.0524742
0.371068 0.999565 0.0504274 0.0555766
0.522444 1.21484 0.049974 0.0564814
0.673021 1.29667 0.0535828 0.0586191
0.823474 1.43136 0.0557746 0.0621479
0.974051 1.55871 0.0593395 0.0659482
1.12385 1.67943 0.0632972 0.0698335
1.27416 1.89321 0.0639214 0.0703851
1.42488 1.82282 0.0813527 0.0888224
1.57634 1.96848 0.0880408 0.0963267
1.72673 2.09691 0.0962146 0.105684
1.87679 2.30963 0.0986098 0.108233
2.02938 2.48144 0.104018 0.114087
2.17898 2.1271 0.199231 0.240614
2.32838 2.41996 0.185349 0.215836
2.47857 2.10721 0.367006 0.463757
2.62941 2.5172 0.296385 0.349879
0.149219 0.859138 0.00477908 0.00483226
0.198657 0.883093 0.00508614 0.00514641
0.25042 0.959995 0.00520686 0.00527005
0.30103 1.00173 0.00516 0.00522204
0.350248 1.08884 0.00527703 0.00534194
0.399674 1.10312 0.00578387 0.00586194
0.450249 1.15106 0.00578865 0.00586685
0.499687 1.1878 0.00615634 0.00624486
0.550228 1.233 0.00630337 0.00639621
0.599883 1.27852 0.00658206 0.00668336
0.650308 1.3126 0.00692201 0.00703413
0.699838 1.35965 0.00696392 0.00707741
0.749736 1.40243 0.00733076 0.00745663
0.800029 1.43584 0.00773151 0.00787165
0.850033 1.49665 0.00781792 0.00796124
0.899821 1.53832 0.00809693 0.00825076
0.949878 1.57101 0.00854529 0.00871681
1 1.62366 0.00869334 0.00887092
1.04999 1.66285 0.00906078 0.00925385
1.10003 1.70475 0.00941114 0.00961961
1.15014 1.73711 0.00991008 0.0101415
1.20003 1.77656 0.0102665 0.0105151
1.24993 1.82073 0.0106951 0.0109651
1.29994 1.89048 0.0107089 0.0109796
1.35005 1.93232 0.0111235 0.0114159
1.40002 1.90374 0.0125551 0.0129288
1.44994 2.00381 0.012183 0.0125347
1.49996 2.06036 0.0124433 0.0128104
1.54998 2.01246 0.0143208 0.0148091
1.59999 2.12946 0.0136442 0.0140868
1.65002 2.07907 0.0157128 0.0163027
1.70001 2.14029 0.0159582 0.016567
1.74997 2.20458 0.0161544 0.0167785
1.80003 2.25343 0.016638 0.0173009
1.84997 2.23676 0.0184603 0.01928
1.89998 2.31931 0.0183047 0.0191103
1.95002 2.3631 0.018949 0.0198137
2 2.34994 0.0209268 0.0219865
2.04999 2.36466 0.0224058 0.0236249
2.09999 2.41246 0.0230972 0.0243949
2.14999 2.3922 0.0256823 0.0272971
2.2 2.51671 0.0243101 0.025752
2.25001 2.41524 0.0296003 0.0317663
2.30001 2.48864 0.0296548 0.0318291
2.35 2.50664 0.031594 0.034074
2.4 2.56996 0.0320034 0.0345508
2.45 2.57513 0.0345817 0.0375754
2.5 2.48559 0.0414559 0.0458348
2.55 2.47222 0.0456667 0.0510391
2.6 2.53269 0.0463952 0.051951
2.65 2.54646 0.0496017 0.0560062
2.7 2.56135 0.0529441 0.0603063
2.75 2.51623 0.0602829 0.0700203
2.8 2.80083 0.0480392 0.0540216
2.85 2.68353 0.0591683 0.0685202
2.9 2.43678 0.0832815 0.103134
2.95 2.69026 0.0689714 0.0820317
3 2.46045 0.0995555 0.129384
-0.522879 0.623249 0.101027 0.131888
-0.187087 0.612784 0.0861861 0.107634
0.158362 0.90309 0.10551 0.139662
0.499687 1.08279 0.147664 0.225453
0.841985 1.4183 0.176091 0.30103
1.18441 1.63144 0.231879 0.531073
1.52673 2.32077 0.198008 0.374317
-1.77258 0.811575 0.0909718 0.115219
-1.67052 0.812913 0.0557311 0.0639505
-1.53174 0.786041 0.0393849 0.0433161
-1.35565 0.759668 0.049218 0.0555173
-1.1338 0.845718 0.0435837 0.0484505
-0.911954 0.795185 0.0711027 0.0850672
-0.673394 0.649335 0.0830589 0.102792
-0.173394 0.62634 0.113232 0.153584
-1.46725 0.414973 0.208276 0.414973
-1.37263 0.612784 0.172546 0.290565
-1.27165 0.732394 0.154097 0.241032
-1.17328 0.755875 0.15261 0.237361
-1.07676 0.845098 0.137173 0.201645
-0.960189 0.716003 0.159058 0.253605
-0.784362 0.70757 0.161662 0.260412
-0.377786 0.792392 0.147128 0.22419
0.80618 1.15534 0.095084 0.121912
-1.20621 0.41162 0.0698229 0.0832401
-1.02136 0.401401 0.0609975 0.0709868
-0.827397 0.459392 0.0630517 0.0737862
-0.543179 0.62634 0.0647411 0.076112
-0.0697643 0.818226 0.0897226 0.113218
0.716003 1.74036 0.0921462 0.117113
