Name,RA,DEC,16cm,4cm,15mm,7mm,3mm
0122-003,01:25:28.843788,-00:05:55.931800,1.146,1.141,0.877,0.873,0.748
0127+084,01:30:27.6358,08:42:46.197,0.145,0.163,0.165,0.159,0.238
J0131-7916,01:31:48.82281,-79:16:17.4855,0.062,0.095,0.158,0.020,0.210
0130-171,01:32:43.487454,-16:54:48.521370,1.152,0.851,2.614,0.865,1.380
0131-522,01:33:05.763,-52:00:03.94,0.862,1.266,1.141,1.088,0.960
0132-389,01:34:32.0382,-38:43:33.514,0.630,0.589,0.772,0.409,0.530
0132-097,01:34:35.6676,-09:31:03.072,0.881,0.567,0.353,0.110,0.040
0132+079,01:35:14.9994,08:11:07.106,1.540,0.796,0.038,0.006,0.005
0133-203,01:35:37.509375,-20:08:45.861680,0.521,0.407,0.270,0.140,0.109
J0136-4044,01:36:02.85627,-40:44:50.2969,0.106,0.255,0.292,0.453,0.446
0135-247,01:37:38.346378,-24:30:53.885260,1.022,1.033,1.205,1.489,1.967
0138-097,01:41:25.832025,-09:28:43.673810,0.511,0.735,0.669,0.621,0.418
0139-273,01:41:27.1913,-27:06:07.125,1.013,0.342,0.063,0.013,0.006
0142-278,01:45:03.394589,-27:33:34.328870,0.789,0.771,1.164,0.884,0.714
J0146-5202,01:46:48.58131,-52:02:33.6463,0.187,0.216,0.227,0.137,0.243
0146+056,01:49:22.370886,05:55:53.568660,1.073,1.105,0.819,0.568,0.063
0147-076,01:50:02.697304,-07:25:48.488550,0.187,0.101,0.052,0.024,0.016
0150-334,01:53:10.122,-33:10:25.86,0.930,0.848,0.642,0.837,0.256
0151+081,01:54:02.7707,08:23:51.080,0.077,0.101,0.188,0.065,0.213
J0154-5107,01:54:19.69514,-51:07:51.7278,0.278,0.263,0.236,,0.269
0153-410,01:55:37.059,-40:48:42.36,1.808,1.153,0.517,0.285,0.130
J0156-5439,01:56:49.71203,-54:39:48.5000,0.518,0.598,0.366,,0.024
0155-109,01:57:41.5280,-10:43:40.408,1.464,0.325,0.264,0.057,0.087
J0157-4614,01:57:51.11572,-46:14:23.2611,0.233,0.235,0.242,0.153,0.133
J0159-7231,01:59:34.40132,-72:31:45.4335,0.210,0.216,0.255,,0.144
J0200-4010,02:00:11.83858,-40:10:58.3057,0.296,0.209,0.139,,0.038
0158+031,02:00:40.8172,03:22:49.502,0.157,0.480,0.429,0.233,0.310
J0201-6638,02:01:07.74497,-66:38:12.6676,0.131,0.285,0.147,,0.165
0159+034,02:01:51.5093,03:43:09.256,0.285,0.207,0.156,0.104,0.055
0159-117,02:01:57.1647,-11:32:33.133,2.001,1.382,0.591,0.673,0.165
0201-440,02:03:40.76,-43:49:51.41,1.951,0.652,0.242,0.118,0.007
0202-172,02:04:57.674350,-17:01:19.840180,1.260,1.686,1.844,1.653,1.386
J0206-6143,02:06:40.00332,-61:43:32.2068,0.180,0.231,0.248,,0.233
J0208-6216,02:08:01.17116,-62:16:35.5348,0.193,0.234,0.201,,0.035
0205-010,02:08:26.3466,-00:47:44.292,0.581,0.372,0.273,0.199,0.193
0206-048,02:09:30.7666,-04:38:26.150,0.287,0.289,0.292,0.205,0.112
0208-512,02:10:46.200,-51:01:01.90,2.192,2.864,3.895,4.195,1.112
J0214-7027,02:14:04.46983,-70:27:06.1965,0.123,0.079,0.166,,0.119
J0214-6149,02:14:16.20457,-61:49:33.6600,0.402,0.552,0.594,,0.359
0213-026,02:15:42.017245,-02:22:56.751750,0.542,0.786,0.517,0.292,0.229
0213+051,02:15:55.0114,05:24:25.551,0.173,0.176,0.113,,0.065
0214-522,02:16:03.198150,-52:00:12.47851,0.847,0.531,0.227,0.113,0.072
0215+015,02:17:48.954740,01:44:49.699090,0.620,0.767,0.881,0.969,1.058
0216+011,02:19:07.024497,01:20:59.865760,0.497,0.897,0.818,0.602,0.454
J0219-6806,02:19:41.72787,-68:06:18.2413,0.451,0.328,0.221,,0.106
0218-021,02:20:54.2800,-01:56:51.800,0.440,0.013,0.016,0.003,-0.006
0220-349,02:22:56.402,-34:41:28.73,1.187,1.083,0.634,0.456,0.376
J0223-5347,02:23:30.87439,-53:47:39.9018,0.084,0.149,0.238,,0.193
0221+067,02:24:28.428190,06:59:23.341640,0.450,1.032,1.379,1.251,2.466
J0228-5546,02:28:21.59838,-55:46:03.2800,0.565,0.440,0.808,,0.932
J0229-5403,02:29:12.78544,-54:03:24.0331,0.200,0.477,0.138,,0.079
0230-790,02:29:34.945,-78:47:45.60,0.644,0.634,0.635,0.011,-0.056
J0231-4746,02:31:11.80361,-47:46:11.5823,0.228,0.616,0.834,,0.706
J0231-5841,02:31:16.93220,-58:41:06.7608,0.155,0.203,0.204,,0.095
0229-398,02:31:51.7886,-39:35:45.744,0.306,0.261,0.195,0.138,0.093
0231+045,02:34:07.1546,04:46:43.052,0.311,0.195,0.080,0.044,0.023
0235-618,02:36:53.24573338,-61:36:15.1827954,0.251,0.373,0.421,0.373,0.152
0234+052,02:37:14.0372,05:26:49.929,0.077,0.083,0.091,,0.076
0237-027,02:39:45.472266,-02:34:40.914300,0.363,0.853,0.643,0.697,0.310
0237+040,02:39:51.263048,04:16:21.411830,0.814,0.674,0.808,0.900,0.602
0237-233,02:40:08.174510,-23:09:15.730850,5.157,2.598,1.043,0.647,0.232
0238-084,02:41:04.798520,-08:15:20.751840,0.658,1.289,2.153,1.259,2.112
0240-217,02:42:35.909850,-21:32:25.935070,1.094,0.691,0.301,0.171,0.106
0240-002,02:42:40.7343,-00:00:47.237,2.131,0.549,0.158,0.065,0.041
J0246-4651,02:46:00.11796,-46:51:17.2317,0.956,0.801,0.797,,0.479
0246+061,02:49:18.016104,06:19:51.947230,0.751,0.722,0.441,,0.182
J0251-6000,02:51:26.24667,-60:00:06.2476,0.419,0.311,0.410,,0.558
0252-712,02:52:46.15240,-71:04:35.2565,4.001,1.494,0.334,0.119,-0.004
J0253-7513,02:53:10.88082,-75:13:16.6850,0.368,0.454,0.303,0.016,0.198
0252-549,02:53:29.180,-54:41:51.44,0.946,1.561,2.198,1.201,1.458
0256+054,02:58:50.5267,05:41:08.036,0.294,0.339,0.253,,0.188
0256+075,02:59:27.076633,07:47:39.643230,0.809,0.590,0.828,,0.864
0258+011,03:01:23.6061,01:18:35.971,0.318,0.346,0.541,0.299,0.329
J0303-7914,03:03:20.90182,-79:14:56.5164,0.189,0.385,0.235,0.044,0.276
J0303-6458,03:03:50.55166,-64:58:54.6825,0.174,0.180,0.160,,0.195
0302-623,03:03:50.632,-62:11:25.55,3.380,2.302,1.443,1.078,0.569
J0304-7007,03:04:18.24179,-70:07:41.1288,0.296,0.254,0.166,,0.044
J0304-4333,03:04:29.20219,-43:33:16.0281,0.169,0.183,0.139,,0.055
J0307-4857,03:07:34.19266,-48:57:11.5335,0.272,0.190,0.108,,0.004
0308-611,03:09:56.099,-60:58:39.06,1.018,1.388,1.048,0.641,0.615
J0312-5541,03:12:07.21302,-55:41:34.8163,0.287,0.291,0.185,,0.026
0310+013,03:12:43.6028,01:33:17.538,0.603,0.355,0.639,0.317,0.291
0310-150,03:12:46.3988,-14:49:52.051,1.612,0.679,0.288,0.135,0.056
J0314-6548,03:14:22.44510,-65:48:24.6961,0.237,0.229,0.260,,0.135
J0318-5650,03:18:57.80337,-56:50:37.4717,0.404,0.368,0.260,,0.065
J0323-6026,03:23:08.45901,-60:26:31.7352,0.135,0.137,0.153,,0.100
0320+053,03:23:20.2616,05:34:11.8909,1.996,0.756,0.183,,0.001
J0324-7320,03:24:03.81853,-73:20:47.2705,0.156,0.201,0.200,,0.079
0325+005,03:27:59.2161,00:44:22.735,0.280,0.305,0.351,0.207,0.115
0327-241,03:29:54.075537,-23:57:08.773300,0.619,1.103,0.969,0.834,0.643
J0330-4014,03:30:51.10399,-40:14:16.5959,0.674,0.547,0.368,,0.129
0332-403,03:34:13.65448352,-40:08:25.3976737,1.476,1.661,1.877,1.580,0.747
0332+078,03:34:53.316689,08:00:14.418780,0.407,0.447,0.351,,0.109
0334-546,03:35:53.925,-54:30:25.12,0.448,0.661,0.408,0.218,0.101
0334+056,03:36:43.0691,05:45:58.193,0.009,0.010,0.011,,0.015
0334+014,03:37:17.113392,01:37:22.772123,0.134,0.145,0.083,0.054,0.008
0336-019,03:39:30.937787,-01:46:35.803990,1.877,2.328,1.885,2.881,1.279
J0340-6703,03:40:28.24119,-67:03:16.5023,0.193,0.257,0.215,,0.067
0338-214,03:40:35.607864,-21:19:31.172230,0.893,0.715,0.659,0.492,0.104
J0341-5954,03:41:21.61456,-59:54:08.9097,0.272,0.160,0.089,,0.003
0346-279,03:48:38.144561,-27:49:13.565300,0.615,0.682,0.554,0.485,0.563
J0351-5142,03:51:28.22900,-51:42:55.4852,0.500,0.324,0.338,,0.263
0355-669,03:55:47.88331911,-66:45:33.8172166,0.805,0.557,0.399,0.341,0.134
0355-483,03:57:21.918,-48:12:15.16,0.377,0.438,0.249,0.091,0.028
J0357-4625,03:57:28.71668,-46:25:43.2359,0.100,0.125,0.117,,0.043
0357+057,04:00:11.735376,05:50:43.122920,0.273,0.333,0.210,0.166,0.040
0358+040,04:01:19.912896,04:13:34.408610,0.147,0.227,0.419,0.516,0.626
0400-319,04:02:21.266,-31:47:25.94,0.739,0.687,0.542,0.349,0.313
0402-362,04:03:53.750,-36:05:01.91,1.087,3.236,4.312,3.271,1.550
0403-132,04:05:34.003401,-13:08:13.691050,3.302,2.343,1.398,0.671,0.555
0403+064,04:06:34.307293,06:37:14.990570,0.297,0.369,0.350,0.277,0.205
0405-385,04:06:59.035,-38:26:28.04,1.552,1.503,2.777,2.900,0.464
0407+075,04:07:29.0870,07:42:07.500,0.425,0.705,0.587,0.979,0.449
0405-331,04:07:33.91377,-33:03:46.3587,0.581,0.695,0.537,0.421,0.178
0407-658,04:08:20.380,-65:45:09.08,9.631,2.720,0.506,0.152,0.020
