Name,RA,DEC,16cm,4cm,15mm,7mm,3mm
0640+090,06:43:26.4517,08:57:37.999,0.401,0.354,0.742,0.210,0.601
0642-349,06:44:25.2817,-34:59:42.140,0.680,0.596,0.285,0.144,0.066
J0644-6712,06:44:28.04365,-67:12:57.3593,0.483,0.713,0.607,0.643,0.256
0646-306,06:48:14.097,-30:44:19.66,0.473,1.085,0.885,0.790,0.685
0647-475,06:48:48.453,-47:34:27.19,1.474,0.554,0.121,0.038,0.024
J0649-5920,06:49:29.48666,-59:20:34.0571,0.084,0.164,0.115,0.067,0.133
0648-165,06:50:24.581852,-16:37:39.725000,2.315,1.670,2.015,1.121,1.011
J0652-5751,06:52:43.59667,-57:51:19.6892,0.053,0.036,0.038,0.028,0.142
0650-063,06:53:00.5987,-06:25:32.520,0.395,0.470,0.503,0.369,0.607
0653-033,06:56:11.1223,-03:23:06.638,0.857,0.955,2.017,0.849,1.543
J0658-5840,06:58:13.77864,-58:40:27.5679,0.191,0.180,0.136,0.118,0.124
0656+082,06:59:17.996026,08:13:30.953190,0.827,0.679,0.477,0.150,0.149
J0700-6610,07:00:31.25304,-66:10:45.2329,0.694,0.840,0.710,0.628,1.094
0700-101,07:02:35.7542,-10:15:06.360,0.295,0.246,0.330,0.146,0.171
0700-007,07:03:19.1067,-00:51:04.949,0.518,0.460,0.383,0.423,0.508
J0705-6500,07:05:26.05246,-65:00:43.4848,0.184,0.163,0.147,0.129,0.112
0704-231,07:06:33.4782,-23:11:37.530,2.691,1.268,0.563,0.273,0.213
0706-113,07:09:10.4064,-11:27:48.444,0.117,0.112,0.290,0.206,0.195
0707-036,07:10:20.1341,-03:43:27.795,1.013,0.614,0.320,0.271,0.213
J0715-6829,07:15:09.49836,-68:29:58.2337,0.228,0.258,0.332,0.243,0.147
J0715-6627,07:15:12.98524,-66:27:52.0071,0.474,0.244,0.086,0.042,0.113
J0716-6240,07:16:33.68933,-62:40:26.7577,0.168,0.245,0.234,0.216,0.139
J0719-6218,07:19:04.47431,-62:18:02.4471,0.160,0.251,0.254,0.233,0.131
J0719-5228,07:19:14.29192,-52:28:32.5055,0.192,0.187,0.138,0.123,0.111
0718+042,07:21:23.909988,04:06:44.213910,0.411,0.876,0.226,0.334,1.096
J0723-8247,07:23:39.40586,-82:47:41.0908,0.212,0.224,0.172,0.154,0.296
0721-071,07:24:17.2992,-07:15:20.259,0.494,1.034,0.662,0.855,0.286
0723-189,07:25:50.1659,-19:04:19.094,0.180,0.151,0.135,0.080,0.059
0723-008,07:25:50.639953,-00:54:56.544380,5.864,5.860,6.077,5.078,4.004
0724-47,07:26:26.24006,-47:28:53.3633,0.436,0.631,0.491,0.677,0.404
0727-365,07:29:5.41714352,-36:39:45.2502607,0.627,0.742,0.468,0.403,0.350
0727-115,07:30:19.112472,-11:41:12.600480,3.876,6.218,4.122,3.515,2.169
0728-235,07:31:06.6670,-23:41:47.827,1.341,1.238,1.099,0.720,0.373
0729-222,07:31:31.5143,-22:24:21.088,1.869,0.953,0.356,0.200,0.079
0729+019,07:32:22.7885,01:50:35.380,0.313,0.294,0.182,0.146,0.060
0731-465,07:32:44.30848,-46:40:17.2085,0.853,0.591,0.286,0.156,0.095
0731+050,07:33:57.4605,04:56:14.505,0.421,0.667,0.698,0.716,0.577
J0734-7711,07:34:43.41919,-77:11:13.4880,0.143,0.164,0.167,0.117,0.103
0733-174,07:35:45.812488,-17:35:48.502230,2.448,1.379,0.545,0.278,0.085
0736-332,07:38:16.949004,-33:22:12.77880,0.783,0.663,0.152,0.044,0.015
0736-303,07:38:19.7921,-30:25:04.886,0.836,0.421,0.092,0.028,0.022
0736-063,07:38:57.175504,-06:26:58.056540,1.454,0.791,0.440,0.234,0.083
0736+017,07:39:18.033894,01:37:04.618030,1.129,1.454,1.736,1.120,1.516
0738-246,07:40:14.7190,-24:44:36.713,0.552,0.473,0.347,0.240,0.154
J0741-4709,07:41:45.24545,-47:09:25.9977,0.214,0.415,0.395,0.645,0.186
0742-56,07:43:20.48419,-56:19:32.9633,0.505,0.684,0.634,0.436,0.316
0741-063,07:44:21.6605,-06:29:35.888,6.179,2.749,0.795,0.308,0.079
0743-006,07:45:54.082313,-00:44:17.539800,1.300,2.324,1.482,0.801,0.448
0744-158,07:46:18.2355,-15:55:34.472,0.293,0.231,0.297,0.235,0.180
J0746-5618,07:46:58.22478,-56:18:32.5318,0.077,0.135,0.089,0.063,0.123
0745-330,07:47:19.68323,-33:10:46.9720,0.834,0.986,2.057,1.854,1.722
0745-165,07:48:03.0880,-16:39:50.160,0.974,0.891,0.598,0.444,0.364
J0748-5258,07:48:12.67198,-52:58:31.7640,0.245,0.173,0.089,0.050,0.160
0748-440,07:49:42.2556,-44:12:29.519,1.240,0.330,0.044,0.010,0.021
0748+019,07:51:02.2822,01:52:15.758,0.141,0.096,0.080,0.060,0.080
0754+100,07:57:06.642936,09:56:34.852100,0.881,1.100,1.244,1.401,0.734
0757-737,07:57:14.066,-73:53:09.45,0.601,0.359,0.182,0.097,0.154
0759-283,08:01:46.4948,-28:31:06.886,0.193,0.207,0.174,0.119,0.050
0801+044,08:03:56.4444,04:21:02.724,0.365,0.319,0.185,0.128,0.147
0802-276,08:04:51.451191,-27:49:11.320180,0.783,0.737,0.456,0.418,0.239
0804-267,08:06:12.722573,-26:52:33.307830,0.557,0.525,0.495,0.296,0.389
J0806-6101,08:06:49.30252,-61:01:29.9652,0.227,0.212,0.209,0.145,0.182
0805-077,08:08:15.536036,-07:51:09.886340,1.168,0.994,1.506,1.575,1.493
0805+053,08:08:38.8478,05:14:39.941,0.110,0.171,0.092,0.070,0.354
0808+019,08:11:26.707322,01:46:52.220020,0.532,1.076,1.026,0.863,1.077
J0812-7420,08:12:30.97324,-74:20:13.4302,0.350,0.126,0.071,0.021,0.026
0812-354,08:14:14.64,-35:38:25.70,0.711,0.360,0.124,0.062,0.091
0812-029,08:15:27.8340,-03:08:26.847,0.993,0.156,0.013,-0.022,0.024
J0817-4809,08:17:11.24621,-48:09:20.0238,0.096,0.082,0.085,0.071,0.021
0816+054,08:18:56.2370,05:17:37.274,0.296,0.221,0.164,0.129,0.104
0818-128,08:20:57.447616,-12:58:59.169490,0.922,0.748,0.593,0.454,0.733
J0820-5705,08:20:58.76330,-57:05:33.4013,0.271,0.147,0.017,0.033,0.010
J0823-4501,08:23:26.85410,-45:01:45.7826,0.213,0.154,0.085,0.083,0.056
0823-500,08:25:26.869,-50:10:38.49,6.093,2.849,0.694,0.249,0.107
0823+033,08:25:50.338355,03:09:24.520140,1.379,1.791,2.107,1.917,1.706
0823-223,08:26:01.572909,-22:30:27.202110,0.927,1.530,1.286,1.078,1.869
0825-202,08:27:17.2081,-20:26:21.716,1.501,0.646,0.146,0.042,0.041
0826-373,08:28:4.78020406,-37:31:6.2811139,1.875,1.434,1.011,0.786,0.962
0829+046,08:31:48.876955,04:29:39.085340,0.577,0.924,0.646,0.711,0.776
J0832-4846,08:32:13.00468,-48:46:54.7551,0.169,0.149,0.116,0.082,0.051
0830+040,08:33:18.9134,03:50:32.356,0.423,0.312,0.326,0.289,0.394
J0833-7305,08:33:43.14144,-73:05:26.2044,0.262,0.217,0.244,0.042,0.265
0833-450,08:35:20.655175,-45:10:35.153252,0.371,0.026,0.001,0.002,0.010
J0835-5953,08:35:29.02204,-59:53:10.9198,0.065,0.298,0.527,0.518,0.729
0834-201,08:36:39.215215,-20:16:59.503500,2.527,2.070,1.880,1.110,1.077
0834-196,08:37:11.1820,-19:51:56.810,3.465,1.443,0.405,0.147,0.100
0837+035,08:39:49.195829,03:19:53.858020,0.740,0.610,0.338,0.212,0.193
0837+012,08:39:49.610999,01:04:26.735700,0.583,0.535,0.601,0.490,0.799
0842-754,08:41:27.034883,-75:40:27.87324,0.948,,,,
0841-60,08:42:26.56101,-60:53:50.4044,0.639,0.994,0.907,1.144,1.538
0843-54,08:45:02.48216,-54:58:08.5449,0.767,0.703,0.638,0.513,0.703
J0845-6527,08:45:11.33544,-65:27:23.1654,0.192,0.411,0.229,0.126,0.080
0842+048,08:45:17.1444,04:39:47.361,0.560,0.697,0.589,0.473,0.675
J0845-5555,08:45:49.67921,-55:55:26.7467,0.252,0.341,0.357,0.377,0.553
0843-259,08:46:00.733855,-26:10:54.155700,1.605,0.605,0.120,0.039,0.010
J0851-5228,08:51:55.84860,-52:28:12.7847,0.404,0.529,0.283,0.257,0.294
J0851-5441,08:51:57.93078,-54:41:33.7599,0.443,0.131,0.120,0.096,0.073
J0852-5755,08:52:38.72534,-57:55:29.8132,0.955,0.870,0.641,0.613,0.626
0850-206,08:53:00.2659,-20:47:28.094,0.793,0.237,0.038,0.005,0.004
0851+071,08:53:48.1908,06:54:47.227,0.955,0.965,0.970,0.762,0.682
0851+075,08:54:35.0369,07:20:24.137,0.145,0.147,0.225,0.145,0.199
J0855-7149,08:55:11.76989,-71:49:06.4571,0.342,0.457,0.480,0.322,0.288
J0857-7719,08:57:42.62745,-77:19:31.8249,0.302,0.069,0.052,0.045,0.048
0858-279,09:00:40.0390,-28:08:20.350,1.540,1.375,0.601,0.511,0.091
J0901-6636,09:01:15.50953,-66:36:33.2595,0.130,0.133,0.117,0.090,0.126
0859-140,09:02:16.830907,-14:15:30.875380,2.348,1.405,0.754,0.478,0.502
0906-682,09:06:52.44,-68:29:39.8,1.210,0.400,0.090,0.018,0.031
0906-47,09:08:42.308,-47:36:51.15,0.735,0.450,0.200,0.160,0.150
0906+015,09:09:10.091597,01:21:35.617650,1.386,1.888,1.694,1.366,1.949
J0909-7445,09:09:20.94498,-74:45:08.1478,0.201,0.319,0.241,0.157,0.116
0907+022,09:09:39.8481,02:00:05.268,0.107,0.183,0.083,0.081,0.206
0912+029,09:14:37.913450,02:45:59.245970,0.625,0.488,0.597,0.537,1.016
0913+003,09:15:51.6955,00:07:13.304,0.352,0.247,0.168,0.115,0.122
J0919-5340,09:19:44.03890,-53:40:06.4446,0.621,0.541,0.418,0.269,0.239
0918+082,09:21:01.0648,08:05:05.671,0.072,0.127,0.103,0.089,0.217
0919-260,09:21:29.353874,-26:18:43.386040,1.668,1.866,1.687,1.670,1.078
J0921-8209,09:21:42.69727,-82:09:36.2200,0.118,0.159,0.125,0.005,0.289
0920-397,09:22:46.418268,-39:59:35.067510,2.128,1.755,1.252,0.856,1.863
J0923-6648,09:23:47.52144,-66:48:37.1309,0.169,0.182,0.151,0.117,0.144
0922+005,09:25:07.815028,00:19:13.933410,0.919,0.913,0.651,0.390,0.332
0925-203,09:27:51.824323,-20:34:51.232660,0.897,0.777,1.336,1.121,0.379
0928+008,09:30:52.2542,00:34:58.941,0.280,0.201,0.166,0.188,0.281
J0931-6229,09:31:27.56030,-62:29:35.6578,0.469,0.317,0.169,0.133,0.108
J0932-6419,09:32:16.08028,-64:19:17.4321,0.362,0.175,0.098,0.057,0.036
0932+094,09:35:13.6411,09:15:07.813,0.167,0.153,0.135,0.130,0.179
J0938-6556,09:38:41.84705,-65:56:13.3116,0.113,0.214,0.149,0.085,0.044
0939-608,09:40:47.35921,-61:07:28.3796,0.556,1.284,1.235,1.137,1.327
J0942-7731,09:42:42.75220,-77:31:11.8475,0.252,0.264,0.306,0.284,0.604
0941-080,09:43:36.944364,-08:19:30.812400,2.200,1.113,0.354,0.157,0.028
0945-321,09:48:09.51255,-32:23:47.4391,0.456,0.335,0.168,0.111,0.055
0946+006,09:48:57.3209,00:22:25.563,0.148,0.415,0.466,0.555,0.560
J0953-6924,09:53:20.50192,-69:24:24.6268,0.129,0.132,0.086,0.057,0.111
0956-40,09:58:38.287,-41:10:33.37,0.567,0.439,0.286,0.210,0.098
0959-443,10:01:59.908051,-44:38:00.603130,0.255,0.447,0.407,0.232,0.082
J1002-7008,10:02:21.76075,-70:08:16.2441,0.381,0.271,0.219,0.164,0.215
1004-50,10:06:14.013,-50:18:13.43,0.559,0.501,1.118,1.378,1.194
1004-018,10:07:04.349917,-02:07:10.917720,0.537,0.631,0.562,0.412,0.227
J1007-5356,10:07:21.28815,-53:56:41.6724,0.391,0.204,0.088,0.054,0.037
1005+077,10:08:00.0160,07:30:16.552,4.327,0.936,0.239,0.094,0.226
1005+066,10:08:00.816171,06:21:21.215060,0.287,0.308,0.415,0.177,0.317
1008+066,10:11:00.3600,06:24:40.200,1.685,0.355,0.053,0.016,0.194
1012-44,10:14:50.35493756,-45:08:41.1543310,0.742,0.668,0.794,0.634,0.480
1013+054,10:16:03.136474,05:13:02.340380,0.186,0.186,0.313,0.281,0.179
J1017-5224,10:17:17.33920,-52:24:47.3630,0.284,0.260,0.130,0.092,0.090
1015-314,10:18:09.2675,-31:44:13.983,2.750,1.322,0.460,0.210,0.087
1015+057,10:18:27.848293,05:30:29.961330,0.242,0.195,0.279,0.130,0.267
1016-311,10:18:28.75349660,-31:23:53.8499603,0.478,0.481,0.506,0.544,0.542
J1019-6047,10:19:53.50256,-60:47:48.3392,0.383,0.420,0.424,0.369,0.419
1018-426,10:20:03.3547,-42:51:41.536,2.112,0.657,0.047,0.015,0.023
1022-66,10:23:43.53312417,-66:46:48.7184771,0.903,0.896,0.726,0.553,0.340
1021-006,10:24:29.586611,-00:52:55.497850,0.781,0.595,0.232,0.092,0.156
J1028-6441,10:28:03.54980,-64:41:16.2182,0.157,0.146,0.152,0.174,0.176
1025+031,10:28:20.401279,02:55:22.471330,0.228,0.251,0.274,0.224,0.173
1026+055,10:29:21.8307,05:19:38.756,0.190,0.147,0.141,0.094,0.205
1030-340,10:33:13.0866,-34:18:45.424,0.810,0.229,0.027,0.005,0.038
1032-199,10:35:02.155274,-20:11:34.359750,1.083,0.963,0.805,0.574,0.344
J1036-5047,10:36:43.97307,-50:47:43.3254,0.370,0.248,0.196,0.158,0.257
1034-293,10:37:16.079734,-29:34:02.813220,1.413,1.438,1.570,1.640,1.533
1035+046,10:37:39.3399,04:24:01.749,0.209,0.234,0.199,0.172,0.250
1036-697,10:38:28.56,-70:03:08.9,1.673,0.605,0.139,0.048,0.009
1036-52,10:38:40.65663,-53:11:43.2686,0.889,1.521,1.174,0.847,0.789
1036+054,10:38:46.7803,05:12:29.096,0.887,0.891,1.518,0.632,0.227
1036-154,10:39:06.705086,-15:41:06.691840,0.354,0.485,0.437,0.489,0.216
1038+064,10:41:17.162504,06:10:16.923780,1.221,1.470,1.126,0.997,0.204
J1041-6431,10:41:17.24626,-64:31:02.0401,0.342,0.435,0.210,0.284,0.467
1039+029,10:41:38.8819,02:42:30.816,0.596,0.413,0.164,0.083,0.174
1039-47,10:41:44.64947,-47:40:00.0641,1.697,2.072,1.943,1.337,0.731
1041-45,10:43:51.420,-45:30:09.76,0.592,0.619,0.180,0.067,0.011
1042+071,10:44:55.911239,06:55:38.262770,0.349,0.254,0.289,0.225,0.178
1042-594,10:45:03.591,-59:41:04.26,0.006,0.452,0.086,,
1045-62,10:47:42.951,-62:17:14.53,1.089,1.393,1.594,1.398,1.239
1045-188,10:48:06.620606,-19:09:35.726950,1.269,1.275,1.942,1.487,0.818
1045+011,10:48:07.7454,00:55:43.478,0.341,0.345,0.196,0.209,0.161
J1048-4639,10:48:18.00845,-46:39:17.4576,0.447,0.367,0.269,0.206,0.305
1046-409,10:48:38.2710,-41:14:00.080,0.250,0.229,0.227,0.248,0.392
J1050-7254,10:50:45.24979,-72:54:32.3103,0.038,0.073,0.055,0.031,0.031
1048-47,10:50:53.40334,-47:19:04.5545,0.753,0.622,0.377,0.227,0.185
1048-313,10:51:04.778,-31:38:14.31,0.987,0.788,0.412,0.247,0.127
1049-53,10:51:09.09981,-53:44:46.5397,0.739,0.722,0.563,0.405,0.459
J1053-5546,10:53:51.61876,-55:46:50.1764,0.221,0.207,0.214,0.171,0.237
J1055-5413,10:55:17.20816,-54:13:31.6394,0.415,0.050,0.071,0.088,0.049
1055-242,10:57:55.410047,-24:33:48.871750,0.870,0.555,0.270,0.176,0.092
1055+018,10:58:29.605209,01:33:58.823720,3.656,5.376,5.451,7.389,5.082
1057-797,10:58:43.311,-80:03:54.16,1.057,1.449,1.854,1.775,3.374
J1100-4249,11:00:50.31787,-42:49:13.2993,0.155,0.279,0.208,0.130,0.124
1059-63,11:01:54.37912,-63:25:22.5975,1.164,0.929,0.965,0.691,0.546
J1102-4404,11:02:04.83613,-44:04:22.8403,0.461,0.541,0.709,0.645,1.003
J1103-5626,11:03:15.38502,-56:26:35.5514,0.199,0.148,0.108,0.092,0.181
1101-325,11:03:31.526418,-32:51:16.691690,0.237,0.302,0.256,0.216,0.346
1101-536,11:03:52.221639,-53:57:00.69607,0.552,0.414,0.570,0.480,0.816
1103-208,11:06:22.3200,-21:08:59.642,1.001,0.342,0.051,0.009,0.111
1104-445,11:07:08.695,-44:49:07.62,2.271,2.716,2.337,1.846,2.527
1105-680,11:07:12.695,-68:20:50.73,0.974,1.237,0.800,0.531,0.318
J1108-4329,11:08:32.21090,-43:29:40.0945,0.096,0.104,0.070,0.071,0.054
J1109-4815,11:09:18.86421,-48:15:19.2669,0.145,0.274,0.164,0.217,0.489
1109-56,11:12:07.267,-57:03:39.73,0.858,0.747,0.627,0.458,0.400
1110-217,11:12:49.848703,-21:58:29.351860,1.129,0.644,0.255,0.153,0.161
1113+087,11:16:09.9728,08:29:22.023,0.151,0.212,0.200,0.317,0.212
1116-462,11:18:26.957587,-46:34:15.00077,1.424,1.483,1.333,1.085,0.882
1116-027,11:19:25.3000,-03:02:51.320,0.890,0.162,0.021,0.001,0.199
1117-248,11:20:09.120788,-25:08:07.608300,1.340,0.643,0.173,0.031,0.165
1118+073,11:20:38.4439,07:04:47.158,0.332,0.256,0.200,0.125,0.266
1120+057,11:23:09.1206,05:30:20.774,1.051,0.336,0.043,0.029,0.212
J1123-6417,11:23:19.41573,-64:17:36.1959,0.137,0.248,0.486,0.458,0.684
J1123-5334,11:23:54.33144,-53:34:17.1328,0.062,0.074,0.084,0.081,0.109
1123-351,11:25:52.93,-35:23:43.00,0.058,0.061,0.049,0.042,0.056
1124-186,11:27:04.392448,-18:57:17.441660,0.830,1.258,1.397,2.193,2.232
1127-145,11:30:07.052580,-14:49:27.388160,4.539,4.151,3.391,1.716,1.555
1128+090,11:30:35.9503,08:46:43.088,0.273,0.336,0.296,0.223,0.140
1128-047,11:31:30.516732,-05:00:19.657360,0.704,0.767,0.824,0.684,0.361
1129-58,11:31:43.287,-58:18:53.33,0.624,1.234,1.192,0.636,0.312
J1132-5606,11:32:16.41525,-56:06:44.7309,0.399,0.594,0.612,0.704,0.966
1130+008,11:32:45.6189,00:34:27.821,0.341,0.244,0.148,0.118,0.172
1130+005,11:33:03.0298,00:15:48.981,0.368,0.322,0.269,0.222,0.153
1130+009,11:33:20.055797,00:40:52.837200,0.393,0.312,0.284,0.226,0.157
1133-681,11:36:02.09920,-68:27:05.8189,1.604,1.166,0.853,0.654,0.540
1136-135,11:39:10.702580,-13:50:43.639870,0.430,0.163,0.340,0.341,0.216
1140-114,11:42:35.0059,-11:41:47.838,0.695,0.180,0.028,0.007,0.206
1142+052,11:45:21.3159,04:55:26.699,0.424,0.330,0.234,0.225,0.143
1142-225,11:45:22.046820,-22:50:31.342980,0.717,0.668,0.531,0.378,0.194
J1145-4836,11:45:31.04249,-48:36:10.0455,0.269,0.329,0.402,0.564,0.646
1143-245,11:46:08.103374,-24:47:32.896810,1.443,1.228,0.620,0.320,0.121
1143-287,11:46:26.188639,-28:59:18.504680,0.361,0.575,0.574,0.638,0.906
1143-332,11:46:28.4520,-33:28:42.660,0.408,0.244,0.261,0.276,0.450
1144-379,11:47:01.371,-38:12:11.02,1.954,1.909,1.924,1.608,2.690
J1147-6753,11:47:33.40066,-67:53:41.7660,0.662,1.763,0.757,0.902,1.116
1145-071,11:47:51.554036,-07:24:41.141090,1.222,1.592,1.087,1.185,0.316
J1148-6745,11:48:18.14694,-67:45:38.5828,0.296,0.249,0.173,0.131,0.155
J1150-5416,11:50:33.95555,-54:16:42.3382,0.146,0.361,0.297,0.164,0.130
1148-001,11:50:43.870761,-00:23:54.204900,2.335,1.530,0.845,0.617,
1148-671,11:51:13.427,-67:28:11.10,1.912,1.532,0.542,0.262,0.095
J1152-0841,11:52:17.2095,-08:41:03.313,1.023,1.035,2.439,0.491,
J1152-8344,11:52:53.22324,-83:44:09.4358,0.122,0.152,0.137,0.122,0.378
1151-350,11:53:36.071,-35:22:32.24,0.437,0.510,0.245,0.146,0.107
J1154-6542,11:54:15.04883,-65:42:16.3770,0.113,0.162,0.296,0.290,0.197
1151-348,11:54:21.78718,-35:05:29.0763,5.191,2.804,1.021,0.519,0.454
1156-221,11:59:11.267271,-22:28:36.902200,0.886,0.512,0.291,0.224,0.160
1156+101,11:59:11.8674,09:54:47.014,0.113,0.150,0.151,0.107,0.242
1156-094,11:59:12.711685,-09:40:52.048720,0.863,0.678,0.436,0.414,0.148
1156+295,11:59:31.833911,29:14:43.826940,2.032,2.466,,,
1157-215,11:59:51.906135,-21:48:53.707610,0.613,0.770,0.360,0.225,0.120
1159-515,12:01:43.27308,-51:50:34.4753,0.297,0.466,0.104,0.035,0.013
J1204-5055,12:04:58.99318,-50:55:56.6265,0.089,0.123,0.119,0.063,0.055
1203-262,12:05:33.212335,-26:34:04.464570,0.800,0.709,0.860,0.697,0.501
1204+057,12:06:58.0281,05:29:52.266,0.337,0.254,0.163,0.136,0.137
J1207-4734,12:07:24.07101,-47:34:53.9975,0.278,0.286,0.312,0.204,0.423
J1208-7809,12:08:18.35522,-78:09:48.6142,0.194,0.201,0.163,0.129,0.406
1206-238,12:09:02.445128,-24:06:20.759560,0.650,0.937,1.419,0.792,0.956
1206-399,12:09:35.243358,-40:16:13.100240,0.377,0.369,0.139,0.094,0.069
1207-319,12:09:40.04464,-32:14:53.1072,0.278,0.290,0.260,0.380,0.099
1213-172,12:15:46.751770,-17:31:45.402890,1.740,1.669,1.524,1.097,1.217
1214-60,12:17:05.634,-61:13:25.41,0.495,0.405,0.216,0.148,0.115
1215-457,12:18:06.25070,-46:00:28.9909,3.919,2.017,0.750,0.383,0.303
1217+023,12:20:11.8851,02:03:42.221,0.315,0.519,0.328,0.702,1.133
1217-55,12:20:26.365,-56:04:42.58,0.547,0.612,0.605,0.273,0.307
J1221-4559,12:21:46.76446,-45:59:06.3919,0.385,0.319,0.370,0.270,0.242
1219+054,12:21:52.3345,05:10:16.072,0.278,0.214,0.141,0.113,0.126
J1222-6035,12:22:06.26752,-60:35:32.2823,0.209,0.554,0.275,0.293,0.242
J1222-4122,12:22:10.15820,-41:22:57.5215,0.214,0.172,0.091,0.156,0.130
1219+044,12:22:22.549618,04:13:15.776300,0.593,0.543,1.842,0.634,0.326
1221-665,12:24:31.68,-66:50:12.50,1.343,0.604,0.100,0.054,0.017
1222+037,12:24:52.421938,03:30:50.292910,0.327,0.429,0.552,0.506,0.910
1221-829,12:24:54.384,-83:13:10.11,0.671,0.585,0.497,0.347,0.477
J1225-4936,12:25:43.19676,-49:36:46.1322,0.180,0.350,0.287,0.282,0.368
J1226-4557,12:26:47.77492,-45:57:38.7833,0.150,0.393,0.397,0.260,0.251
1226+023,12:29:06.699729,02:03:08.598190,29.906,27.575,22.259,14.448,11.513
J1229-6003,12:29:26.89421,-60:03:37.0179,0.105,0.167,0.149,0.090,0.226
1228+045,12:31:27.5863,04:18:01.895,0.443,0.467,0.365,0.213,0.345
1232-416,12:35:41.958,-41:53:18.65,1.237,0.395,0.070,0.021,0.184
J1237-7235,12:37:11.73311,-72:35:31.3061,0.230,0.235,0.248,0.205,0.266
1234-504,12:37:15.238,-50:46:23.17,1.560,0.524,0.103,0.037,0.022
1235+076,12:38:02.4464,07:23:21.833,0.210,0.179,0.319,0.173,0.345
1236+077,12:39:24.588312,07:30:17.189090,0.639,0.946,1.143,0.960,1.417
1237-101,12:39:43.061498,-10:23:28.692800,1.692,1.335,0.811,0.523,0.300
1236-684,12:39:46.652,-68:45:30.89,0.609,0.521,0.358,0.345,0.398
1239-044,12:42:19.6650,-04:46:20.710,1.629,0.501,0.065,0.022,0.010
J1243-6811,12:43:45.21929,-68:11:03.4329,0.341,0.373,0.408,0.224,0.299
J1244-5213,12:44:32.98143,-52:13:00.7622,0.257,0.219,0.211,0.146,0.267
1243-412,12:45:57.639,-41:28:45.33,1.126,0.560,0.207,0.095,0.080
1243-072,12:46:04.232113,-07:30:46.574500,0.712,0.952,1.052,1.095,0.745
1244-255,12:46:46.802040,-25:47:49.288830,0.751,0.728,1.314,2.597,4.175
1245-197,12:48:23.898197,-19:59:18.587620,4.101,2.199,0.748,0.323,
J1252-6737,12:52:43.21058,-67:37:38.7418,0.491,0.647,0.533,0.538,0.465
1252+028,12:54:45.4650,02:33:28.956,0.176,0.183,0.136,0.082,0.048
J1254-6111,12:54:46.57832,-61:11:34.9674,0.336,0.344,0.305,0.260,0.426
1251-713,12:54:59.922,-71:38:18.44,1.129,1.201,1.095,0.794,0.892
J1256-6449,12:56:03.40368,-64:49:14.8139,0.395,0.247,0.203,0.157,0.350
1253-055,12:56:11.166560,-05:47:21.524580,13.083,15.593,19.009,14.103,18.344
1255-316,12:57:59.061,-31:55:16.85,1.390,2.199,1.103,1.195,0.456
1256-220,12:58:54.478780,-22:19:31.125450,0.848,0.852,1.008,0.754,
1258+087,13:00:36.4388,08:28:02.858,0.113,0.132,0.227,0.121,0.183
J1303-5540,13:03:49.21607,-55:40:31.6070,0.381,0.514,0.435,0.793,0.687
1302-102,13:05:33.015026,-10:33:19.428210,0.901,0.685,1.036,0.944,1.680
1305-668,13:08:17.37468,-67:07:05.2273,0.411,0.298,0.451,0.346,0.309
J1308-4352,13:08:22.58691,-43:52:03.7464,0.140,0.238,0.168,0.109,0.132
1306-095,13:08:39.1690,-09:50:32.680,3.376,1.890,0.666,0.102,0.319
1307+010,13:10:28.5027,00:44:08.870,0.173,0.157,0.109,0.095,0.040
1308-220,13:11:39.3347,-22:16:41.748,3.348,1.016,0.209,0.058,0.031
J1312-7724,13:12:38.75349,-77:24:13.3214,0.238,0.236,0.296,0.191,0.329
1313-333,13:16:07.986,-33:38:59.17,0.808,0.730,1.018,0.857,1.204
J1317-4522,13:17:39.61583,-45:22:19.4621,0.179,0.179,0.162,0.117,0.162
1315-46,13:18:30.064,-46:20:34.90,1.587,0.614,0.163,0.074,0.040
J1322-8419,13:22:27.52572,-84:19:34.1316,0.169,0.210,0.127,0.085,
J1322-6532,13:22:53.88821,-65:32:19.8918,0.426,0.483,0.455,0.245,0.288
1320-446,13:23:04.245395,-44:52:33.85468,2.253,0.990,0.272,0.109,0.041
1322-427,13:25:27.615544,-43:01:08.80365,5.466,4.029,8.097,7.229,17.844
J1326-5256,13:26:49.21,-52:56:23.5,0.927,0.979,1.199,1.054,2.434
J1327-4214,13:27:36.06272,-42:14:32.3188,0.224,0.182,0.122,0.092,0.058
1325-55,13:29:1.14490927,-56:08:2.6658418,0.942,0.906,0.964,0.790,1.125
J1330-7003,13:30:11.07683,-70:03:13.0779,0.377,0.598,0.786,0.434,0.917
1327-311,13:30:19.08405,-31:22:59.1355,0.559,0.630,0.213,0.239,0.099
1328+307,13:31:08.287984,30:30:32.958850,10.725,7.077,,,
1329-665,13:32:37.52734123,-66:46:50.3491764,1.980,0.713,0.214,0.091,0.057
1334-127,13:37:39.782780,-12:57:24.693230,3.363,3.462,7.019,6.341,5.862
1335-061,13:38:08.0700,-06:27:11.200,0.761,0.090,0.032,0.031,0.026
1336-260,13:39:19.890748,-26:20:30.495900,0.547,0.557,0.483,0.393,0.440
1338-58,13:42:13.497,-58:27:59.13,2.235,0.824,0.151,0.055,0.004
J1345-6936,13:45:11.85196,-69:36:51.5071,0.112,0.106,0.112,0.083,0.082
1343-300,13:45:51.513,-30:15:04.54,1.110,0.545,0.192,0.089,0.044
